,title,type,url,description,skills,ratings,recent_views,enrolled
10, Basic Descriptives using R Cmdr,Course,https://www.coursera.org/learn/basic-desc-r-cmdr,,,,,
11,,,,,,,,
12,,,,,,,,
13," Build, Train, and Deploy ML Pipelines using BERT | Coursera",Course,https://www.coursera.org/learn/ml-pipelines-bert,"In the second course of the Practical Data Science Specialization, you will learn to automate a natural language processing task by building an end-to-end machine learning pipeline using Hugging Faceâs highly-optimized implementation of the state-of-the-art BERT algorithm with Amazon SageMaker Pipelines. Your pipeline will first transform the dataset into BERT-readable features and store the features in the Amazon SageMaker Feature Store. It will then fine-tune a text classification model to the dataset using a Hugging Face pre-trained model, which has learned to understand the human language from millions of Wikipedia documents. Finally, your pipeline will evaluate the modelâs accuracy and only deploy the model if the accuracy exceeds a given threshold.Practical data science is geared towards handling massive datasets that do not fit in your local hardware and could originate from multiple sources. One of the biggest benefits of developing and running data science projects in the cloud is the agility and elasticity that the cloud offers to scale up and out at a minimum cost.

The Practical Data Science Specialization helps you develop the practical skills to effectively deploy your data science projects and overcome challenges at each step of the ML workflow using Amazon SageMaker. This Specialization is designed for data-focused developers, scientists, and analysts familiar with the Python and SQL programming languages and want to learn how to build, train, and deploy scalable, end-to-end ML pipelines - both automated and human-in-the-loop - in the AWS cloud.","['ML Pipelines and MLOps', 'Model Training and Deployment with BERT', 'Model Debugging and Evaluation', 'Feature engineering and feature store', 'Artifact and lineage tracking']",115 ratings,"17,709 recent views","9,797 already enrolled"
14,,,,,,,,
15," Comercio, InmigraciÃ³n y Tipos de Cambio en un Mundo Globalizado | Coursera",Course,https://www.coursera.org/learn/comercio-inmigracion-tipos-de-cambio,"Este es el segundo de los tres cursos que forman parte de la EspecializaciÃ³n en GlobalizaciÃ³n, Crecimiento EconÃ³mico y Estabilidad. Este curso se enfocarÃ¡ en las facetas de la globalizaciÃ³n que afectan las perspectivas y decisiones econÃ³micas de un paÃ­s. La globalizaciÃ³n ha sido recientemente el tema predominante en muchos debates polÃ­ticos, y este curso abordarÃ¡ los determinantes de la globalizaciÃ³n. SerÃ¡ separado en cuatro mÃ³dulos; el primer mÃ³dulo explicarÃ¡ las tasas de cambio. CubrirÃ¡ lo que determina el tipo de cambio y cÃ³mo los diferentes tipos de cambio afectan la economÃ­a y la realidad de las monedas. El segundo mÃ³dulo explorarÃ¡ el comercio, la realidad del libre comercio y lo que le ocurre a la economÃ­a de un paÃ­s con proteccionismo. El tercer mÃ³dulo se incluirÃ¡ en la balanza de pagos, te ayudarÃ¡ a comprender cÃ³mo funcionan las transacciones econÃ³micas entre un paÃ­s y el resto del mundo. El cuarto mÃ³dulo se centrarÃ¡ en InmigraciÃ³n, que es probablemente uno de los temas mÃ¡s controvertidos de la actualidad. ExplicarÃ¡ cÃ³mo la migraciÃ³n afecta a los paÃ­ses de acogida y cubrirÃ¡ las tendencias de migraciÃ³n actuales. El quinto mÃ³dulo pondrÃ¡s todos tus conocimientos en prÃ¡ctica y tendrÃ¡s que analizar cinco variables sobre la economÃ­a espaÃ±ola en dos periodos 2004-2012 y 2013-2018.",,77 ratings,"3,112 recent views","2,901 already enrolled"
16, Crea contenido de e-learning con Canva para tus estudiantes,Course,https://www.coursera.org/learn/crea-contenido-e-learning-canva-estudiantes,,,,,
17, Create a Budget with Google Sheets,Course,https://www.coursera.org/learn/create-a-budget-with-google-sheets,,,,,"10,365 already enrolled"
18,,,,,,,,
19,  Creating a Quiz Game using Vanilla JavaScript,Course,https://www.coursera.org/learn/creating-a-quiz-game-using-vanilla-javascript,,,,,
20,,,,,,,,
21,,,,,,,,
22, CrÃ©er du contenu e-learning pour vos Ã©tudiants avec Canva,Course,https://www.coursera.org/learn/creer-contenu-e-learning-etudiants-canva,,,,,
23, Curso Completo de Spark con Databricks (Big Data),Course,https://www.coursera.org/learn/curso-completo-spark-databricks,,,,,
24,,,,,,,,
25,,,,,,,,
26,,,,,,,,
27, Enhance Organizational Communications with Slack,Course,https://www.coursera.org/learn/enhance-organizational-communications-with-slack,,,,,"2,559 already enrolled"
28, FPGA computing systems: Background knowledge and introductory materials | Coursera,Course,https://www.coursera.org/learn/fpga-intro,"This course is for anyone passionate in learning how a hardware component can be adapted at runtime to better respond to users/environment needs. This adaptation can be provided by the designers, or it can be an embedded characteristic of the system itself. These runtime adaptable systems will be implemented by using FPGA technologies.Within this course we are going to provide a basic understanding on how the FPGAs are working and of the rationale behind the choice of them to implement a desired system.

This course aims to teach everyone the basics of FPGA-based reconfigurable computing systems. We cover the basics of how to decide whether or not to use an FPGA and, if this technology will be proven to be the right choice, how to program it.
This is an introductory course meant to guide you through the FPGA world to make you more conscious on the reasons why you may be willing to work with them and in trying to provide you the sense of the work you have to do to be able to gain the advantages you are looking for by using these technologies.

We rely on some extra readings to provide more information on the topic covered in this course.
Please NOTE that most of the time, these documents are provided through the IEEE Xplore Digital Library, which means that, to access them, you have to have a valid IEEE subscriptions, either does by yourself or through your university/company.

The course has no prerequisites and avoids all but the simplest mathematics and it presents technical topics by using analogizes to help also a student without a technical background to get at least a basic understanding on how an FPGA works.
One of the main objectives of this course is to try to democratize the understanding and the access to FPGAs technologies. FPGAs are a terrific example of a powerful technologies that can be used in different domains. Being able to bring this technologies to domain experts and showing them how they can improve their research because of FPGAs, can be seen as the ultimate objective of this course. Once a student completes this course, they will be ready to take more advanced FPGA courses.",,224 ratings,"7,362 recent views","13,249 already enrolled"
29, Future Healthcare Payment Models | Coursera,Course,https://www.coursera.org/learn/healthcare-payment-models,"This course will review the drivers of healthcare cost and solutions that have been proposed to address cost, quality and value of health care. Many point blame for high costs on payment models that pay healthcare providers for every service they provide to patients, essentially paying more for volume and service intensity. This is called a Fee for Service (FFS) payment model. Some solutions, arguably the more sustainable solutions, are the combined strategies of new payment models, care management, insurance plan designs, consumer engagement tools, and technology. Using that information we will explore various situations, showcasing coordinated care and payment strategies that can be implemented to improve patient health and the cost of delivery of healthcare services.

By the end of this course, the learner should be able to: 

1. Identify the drivers and trends of healthcare spending from the perspective of various stakeholders, including medical providers, insurers, government and private purchasers and payments
2. Critically assess the impact of strategic and financial approaches that have been put in place by the ACA and the various modifications. 
3. Evaluate how healthcare payment models currently work and the new direction that value-based payment is taking.
4.Identify how financial and non-financial metrics can be appropriately combined to improve a healthcare stakeholdersâ value proposition.",,34 ratings,"3,911 recent views","3,719 already enrolled"
30,,,,,,,,
31,,,,,,,,
32,,,,,,,,
33,,,,,,,,
34,,,,,,,,
35,,,,,,,,
36," Get, Shape, Combine and Merge the datasets using Power BI",Course,https://www.coursera.org/learn/get-shape-combine-and-merge-the-datasets-using-power-bi,,,,,
37, How to combine shapes in Adobe Illustrator,Course,https://www.coursera.org/learn/how-combine-shapes-adobe-illustrator,,,,,
38,,,,,,,,
39, How to create an API request using Postman,Course,https://www.coursera.org/learn/rapid-api-postman,,,,,
40,,,,,,,,
41, IT Security: Defense against the digital dark arts  | Coursera,Course,https://www.coursera.org/learn/it-security,"This course covers a wide variety of IT security concepts, tools, and best practices. It introduces threats and attacks and the many ways they can show up. Weâll give you some background of encryption algorithms and how theyâre used to safeguard data. Then, weâll dive into the three As of information security: authentication, authorization, and accounting. Weâll also cover network security solutions, ranging from firewalls to Wifi encryption options. The course is rounded out by putting all these elements together into a multi-layered, in-depth security architecture, followed by recommendations on how to integrate a culture of security into your organization or team.At the end of this course, youâll understand:
â how various encryption algorithms and techniques work as well as their benefits and limitations.
â various authentication systems and types.
â the difference between authentication and authorization.
â how to evaluate potential risks and recommend ways to reduce risk.
â best practices for securing a network.
â how to help others to grasp security concepts and protect themselves.","['Cybersecurity', 'Wireless Security', 'Cryptography', 'Network Security']","17,846 ratings","1,594,023 recent views","279,346 already enrolled"
42, Improving Immunity Based on Traditional Eastern Exercises | Coursera,Course,https://www.coursera.org/learn/sjtuyoga,"Exercise is medicine. Regular and moderate exercise can effectively strengthen immune system so as to reduce the risk of virus infection and also improve or assist in the treatment of dysthymic disorders like anxiety and depression. This course provides suggestions for the general public about how to actively respond to the outbreak of novel coronavirus. It also explains: how the immune system reacts when viruses invade into the body; why exercises can enhance immunity and what is the mechanism; what the difference is between western sports and traditional eastern exercises. Besides, the course includes training lessons on Baduanjin, Zhanzhuang, Daoyin, Yoga and other exercises conducive to immunity improvement.      This course is characteristic for its combination of physical education and medicine, so the course will be taught by experts in either sports or medicine. The teaching content covers both disciplinary theory and specific training method, showcasing the unique culture and charm of the East while conducting cross-cultural communication as well as sharing the wisdom of traditional exercises and modern research and application in this regard.",,61 ratings,"6,906 recent views","3,718 already enrolled"
43, Impulsando la transformaciÃ³n del marketing digital | Coursera,Course,https://www.coursera.org/learn/impulsando-la-transformacin-del-marketing-digital,"Este curso es el tercero de la especialidad de Marketing digital. Si llegaste hasta este punto eso quiere decir que te interesa mucho el marketing digital y que deseas integrarlo completamente a tu empresa o marca. En este curso se verÃ¡ la importancia que tiene la transformaciÃ³n del marketing digital, ya que como sabrÃ¡s, esta disciplina no es estÃ¡tica, sino que es dinÃ¡mica y cambia contantemente. Veremos que retos lleva esta transformaciÃ³n, asÃ­ como las principales herramientas para superarlos. Te invito a que continÃºes con este curso y espero sea de tu interÃ©s y aplicaciÃ³n. 

â¢	Reconocer la importancia de la transformaciÃ³n del marketing digital en el contexto empresarial.
â¢	Analizar la gestiÃ³n de la marca en la economÃ­a digital para desarrollar la ejecuciÃ³n de la estrategia de marketing digital adecuada y obtener beneficios a la empresa.
â¢	Conocer las principales herramientas e indicadores en el marketing digital para posicionar a la marca en diferentes contextos y lograr una estrategia exitosa.","['estrategias', 'GestiÃ³n', 'ComunicaciÃ³n', 'AnÃ¡lisis', 'creatividad']",,"4,874 recent views",
44, Incrementar - Parte 2 y Controlar | Coursera,Course,https://www.coursera.org/learn/incrementar---parte-2-y-controlar,"El curso explora herramientas selectas de las etapas de Mejora y Control de la metodologÃ­a DMAIC de Lean Six Sigma, presentando una mezcla de herramientas cuantitativa y cualitativas. En la etapa de Mejora se busca construir modelos matemÃ¡ticos predictivos a travÃ©s de regresiÃ³n lineal mÃºltiple y regresiÃ³n polinomial; mientras que se introducen las herramientas Lean de Kanban y Mantenimiento Productivo Total (TPM) con el objetivo de mejorar el desempeÃ±o de un proceso a travÃ©s de la estabilidad del mismo al reducir paros por falta de materiales y fallas en los equipos.

En la etapa de Control se introduce el Control EstadÃ­stico de Procesos como una herramienta para monitorear el desempeÃ±o de un sistema para detectar distintos patrones que pueden provocar no conformidades, antes de que el sistema comience a generar artÃ­culos defectuosos. Como herramientas de manufactura esbelta se presentan el Poka Yoke para evitar cometer errores y la tÃ©cnica de reporte A3 para solucionar problemas.


Los objetivos del curso son los siguientes:

â¢	Identificar causas raÃ­z mediante las herramientas cuantitativas. 
â¢	Controlar procesos a travÃ©s de las herramientas estadÃ­sticas. 
â¢	Estabilizar y controlar los procesos a travÃ©s de las herramientas lean.","['Mejora continua', 'EstadÃ\xadstica', 'Toma de decisiÃ³n', 'SoluciÃ³n de problemas', 'AnÃ¡lisis']",,"5,330 recent views",
45, IntelÂ® Network Academy - Network Transformation 101 | Coursera,Course,https://www.coursera.org/learn/network-transformation-101,"Welcome to the IntelÂ® Network Academy â a comprehensive training program on network transformation.  In this program, we will be covering the topic areas of software defined infrastructure (SDI) network functions virtualization (NFV), software-defined networking (SDN) and beyond. The Network Academy includes a broad collection of online content and technical training aimed to assist technical professionals in the network industry to improve their knowledge of key IntelÂ® technologies, industry trends, and technical aspects of NFV deployments.After completing this training course, please find Network Transformation 102 offered by IntelÂ® Network Academy to advance your technical expertise.","['Software-Defined Networking', 'Internet Of Things (IOT)', 'Network Architecture', 'Network Function Virtualization']",473 ratings,"20,587 recent views","29,575 already enrolled"
46, IntroducciÃ³n a Facebook Audience Insights,Course,https://www.coursera.org/learn/introduccin-facebook-audience-insights,,,,,
47, Introduction to Academic Writing | Coursera,Course,https://www.coursera.org/learn/introduction-to-academic-writing,"Welcome to the Introduction to Academic Writing course! By the end of this course, you will gain an in-depth understanding of reading and writing as essential skills to conduct robust and critical research. This course introduces you to critical reading and writing skills within the conventions of academic writing. In this course, you will learn to effectively communicate your research questions and findings to an interested audience using reading and writing skills. With writing being an important method of thinking, you will learn how the practice of writing allows you to arrive at complex insights about your research area and develop your arguments systematically. This course focuses on the process of developing an argument through the examination of claims and evidence. It also familiarizes you with the structure of academic writing, which will help you better grasp the process of reading academic articles and writing your research. Through a mix of presentations and practice questions, this course provides you with a solid foundation for approaching the process of critical reading and writing in your respective disciplines. It will also cover other writing genres that are relevant to you, including writing for popular media and policy briefs, allowing you to explain how the writing process differs in these areas.","['Academic Writing', 'Strategies of reading', 'Writing for popular media', 'Research And Design']",,"19,604 recent views",
48,,,,,,,,
49, Know Thyself - The Value and Limits of Self-Knowledge: The Examined Life | Coursera,Course,https://www.coursera.org/learn/know-thyself-the-examined-life,"According to legend, inscribed on walls of the temple on the sacred site of Delphi in Ancient Greece were two premier injunctions: NOTHING IN EXCESS, and KNOW THYSELF. This course will be an examination of the latter injunction in an effort to discover what self-knowledge is, why it might be valuable, and what, if any, limitations it might face. What is missing from a person lacking in self-knowledge that makes her less wise, virtuous, or competent in certain areas than others who have this capacity, and what if anything might she do to fill that gap?  Historical sources as well as recent research in philosophy, experimental social psychology, and neuroscience will inform our investigation, in the course of which we will become students of our own dreams, and cultivate some meditative practices.Learning Outcomes: 
Learners will gain familiarity with prominent themes from Western, classical Chinese, and Buddhist approaches to our knowledge of ourselves. In the course of doing so, they will gain an appreciation of the relation of self-knowledge to wisdom, of the value of intellectual humility, as well as of methods of learning about oneself that do not depend on introspection. 

Learners will also become familiar with contemporary research in experimental social psychology, philosophy, and neuroscience into the emotions, the unconscious, the role of affect in decision making, and self-deception. They will also gain an appreciation of a challenge to the assumption of a coherent, unified self that derives from the Buddhist tradition.

---
This course was created by a partnership between The University of Edinburgh and Humility & Conviction and Public Life Project, an engaged research project  based at the University of Connecticut and funded by a generous grant from the John Templeton Foundation.",,507 ratings,"32,696 recent views","51,281 already enrolled"
50,,,,,,,,
51, Les bits et les octets des rÃ©seaux informatiques | Coursera,Course,https://www.coursera.org/learn/les-bits-et-les-octets-des-reseaux-informatiques,"Ce cours est conÃ§u pour fournir un aperÃ§u complet des rÃ©seaux informatiques. Nous couvrirons tout, des principes fondamentaux des technologies et protocoles de rÃ©seau modernes Ã  une vue dâensemble du cloud en passant par les applications pratiques et le dÃ©pannage rÃ©seau. Ã la fin de ce cours, vous serez en mesure de :
â dÃ©crire les rÃ©seaux informatiques en termes de modÃ¨le Ã  cinq couches
â comprendre tous les protocoles standard utilisÃ©s dans les communications TCP/IP
â maÃ®triser de puissants outils et techniques de dÃ©pannage rÃ©seau
â apprendre les services rÃ©seau tels que DNS et DHCP qui contribuent au fonctionnement des rÃ©seaux informatiques
â comprendre lâinformatique en nuage (cloud computing), le tout en tant que service, ainsi que le stockage en cloud","['DÃ©pannage', 'Ipv4', 'modÃ¨le de rÃ©seau', 'SystÃ¨me de noms de domaine (DNS)']",,"4,896 recent views",
52,,,,,,,,
53, MYSQL Workbench Ø¥ÙØ´Ø§Ø¡ Ù ØªØµÙÙÙ ÙÙØ§Ø¹Ø¯ Ø§ÙØ¨ÙØ§ÙØ§Øª Ø¨Ø§Ø³ØªØ®Ø¯Ø§Ù,Course,https://www.coursera.org/learn/database-creation-and-modeling-using-mysqlworkbench,,,,,
54, Machine Learning Interpretable: interpretML y LIME,Course,https://www.coursera.org/learn/machine-learning-interpretable-lime,,,,,
55, Mandarin Chinese for Intermediate Learners: Part 1 | Coursera,Course,https://www.coursera.org/learn/mandarin-chinese-intermediate-learners-1,"""Mandarin Chinese 1: Chinese for Intermediate Learners"" is the first course of the MOOC specialization  ""Learn Intermediate Mandarin Chinese"" created by Shanghai Jiao Tong University.","['Mandarin Chinese', 'foreign language', 'HSK3']",102 ratings,"4,579 recent views","9,988 already enrolled"
56, Manejo del enfermo semicrÃ­tico y crÃ­tico por COVID-19 | Coursera,Course,https://www.coursera.org/learn/covid-19-esp,"DespuÃ©s de realizar este curso serÃ¡s capaz de conocer los elementos clave del abordaje del paciente crÃ­tico y semicrÃ­tico por COVID-19, basados en la evidencia cientÃ­fica disponible y que puedan ayudarte en la toma de decisiones clÃ­nicas.Curso dirigido a los profesionales de medicina y enfermerÃ­a, con conocimientos bÃ¡sicos en la atenciÃ³n a pacientes crÃ­ticos y, que debido a la crisis sanitaria, atienden en las Ã¡reas de crÃ­ticos o semicrÃ­ticos COVID-19 y/o a estos pacientes fuera de su ubicaciÃ³n habitual. AdemÃ¡s este curso puede suponer una oportunidad de repaso de contenidos a profesionales que ya trabajen en el Ã¡mbito de la Medicina/Enfermeria CrÃ­tica y Terapia Intensiva. 

El  programa docente se ha desarrollado desde el MÃ¡ster Enfermo CrÃ­tico y Emergencias, programa de referencia en la formaciÃ³n de paciente crÃ­tico en la Facultad de Medicina y Ciencias de la Salud de la Universidad de Barcelona.

Esta propuesta docente estÃ¡ dirigida a la comunidad de habla hispana, y se  corresponde con  la versiÃ³n en espaÃ±ol del curso original en catalÃ¡n EduCatVID, promovido por CatSalut (organismo encargado del sistema de prestaciones sanitarias pÃºblicas en la Comunidad AutÃ³noma de Catalunya, EspaÃ±a)",,189 ratings,"5,902 recent views","8,967 already enrolled"
57, Market your new business with Canva,Course,https://www.coursera.org/learn/market-new-business-canva,,,,,
58,,,,,,,,
59,,,,,,,,
60, Microsoft Excel ÙÙØ¯ÙØ© Ø¥ÙÙ ØªØ­ÙÙÙ Ø§ÙØ¨ÙØ§ÙØ§Øª Ø¨Ø§Ø³ØªØ®Ø¯Ø§Ù,Course,https://www.coursera.org/learn/microsoft-excel-mqdm-l-thlyl-lbynt-bstkhdm,,,,,
61, Modelling with WARP PLS,Course,https://www.coursera.org/learn/warp-pls,,,,,
62, Natural Language Processing and Capstone Assignment | Coursera,Course,https://www.coursera.org/learn/natural-language-processing-captsone-assignment,"Welcome to Natural Language Processing and Capstone Assignment. In this course we will begin with an Recognize how technical and business techniques can be used to deliver business insight, competitive intelligence, and consumer sentiment. The course concludes with a capstone assignment in which you will apply a wide range of what has been covered in this specialization.",,21 ratings,"4,653 recent views","1,642 already enrolled"
63, Non parametric Tests using R Cmdr,Course,https://www.coursera.org/learn/non-parametric-tests-rcmdr,,,,,
64,,,,,,,,
65, Optimization Methods in Asset Management | Coursera,Course,https://www.coursera.org/learn/financial-engineering-optimizationmethods,"This course focuses on applications of optimization methods in portfolio construction and risk management. The first module discusses portfolio construction via Mean-Variance Analysis and Capital Asset Pricing Model (CAPM) in an arbitrage-free setting. Next, it demonstrates the application of the security market line and sharpe optimal portfolio in the exercises. The second module involves the difficulties in implementing Mean-Variance techniques in a real-world setting and the potential methods to deal with it. We will introduce Value at Risk (VaR) and Conditional Value at Risk (CVaR) as risk measurements, and Exchange Traded Funds (ETFs), which play an important role in trading and asset management. Typical statistical biases, pitfalls, and their underlying reasons are also discussed, in order to achieve better results when completingÂ  real statistical estimation. The final module looks directly at real-world transaction costs modeling. It includes the basic market micro-structures including order book, bid-ask spread, measurement of liquidity, and their effects on transaction costs. Then we enrich Mean-Variance portfolio strategies by considering transaction costs.","['Capital Asset Pricing Model (CAPM)', 'risk measurements', 'Value at Risk (VaR)', 'Exchange Traded Funds (ETFs)', 'transaction costs-modeling']",15 ratings,"9,774 recent views","3,332 already enrolled"
66, Parameterized and Dynamic Testing in JUnit | Coursera,Course,https://www.coursera.org/learn/dynamic-j-unit-testing,"In this course you will learn about how to test vast amounts of functionality using Parameterized Tests, Repeated Tests and Dynamic Tests without having to write verbose test scripts.","['Dynamic Testing', 'Junit', 'Parameterized testing']",,,
67, Physics 102  - Magnetic Fields and Faraday's Law | Coursera,Course,https://www.coursera.org/learn/physics-102-magnetic-fields-faradays-law,"This course serves as an introduction to the physics of electricity and magnetism.  Upon completion, learners will have an understanding of how the forces between electric charges are described by fields, and how these fields are related to electrical circuits. They will gain experience in solving physics problems with tools such as graphical analysis, algebra, vector analysis, and calculus.  The course follows the typical progression of topics of a first-semester university physics course:  charges, electric forces, electric fields potential, magnetic fields, currents, magnetic moments, electromagnetic induction, and circuits.  Each module contains reading links to a free textbook, complete video lectures, conceptual quizzes, and a set of homework problems.  Once the modules are completed, the course ends with an exam.  This comprehensive course series is similar in detail and rigor to what is taught on-campus.  It will thoroughly prepare learners for their upcoming introductory physics courses, or more advanced courses in physics.","['Electronic Circuits', 'Physics', 'Force Fields', 'Problem Solving', 'Electrical Engineering']",,"5,026 recent views",
68,,,,,,,,
69, Power BI  Ø§ÙØ­ØµÙÙ Ø¹ÙÙ Ø§ÙØ¨ÙØ§ÙØ§Øª ÙØ´ÙÙÙØ§ ÙØ¯ÙØ¬ÙØ§ Ø¨Ø§Ø³ØªØ®Ø¯Ø§Ù  ,Course,https://www.coursera.org/learn/manipulate-data-using-power-bi-desktop,,,,,
70, Power BI ÙÙØ­Ø© Ø¨ÙØ§ÙØ§Øª ÙØ¨ÙØ¹Ø§Øª Ø¨Ø§Ø³ØªØ®Ø¯Ø§Ù Ø¨Ø±ÙØ§ÙØ¬ ,Course,https://www.coursera.org/learn/power-bi-iawhat-bayanat-mabieat-biaistikhdam-barnamaj,,,,,
71, Power BI ÙØªÙØ§Ø±ÙØ± Ø¨Ø§Ø³ØªØ®Ø¯Ø§Ù Visualizations   Ø¥ÙØ´Ø§Ø¡,Course,https://www.coursera.org/learn/creating-visualizations-and-reports-using-power-bi,,,,,
72,,,,,,,"2,865 already enrolled",
73, Prehospital care of acute stroke and patient selection for endovascular treatment using the RACE scale | Coursera,Course,https://www.coursera.org/learn/acute-stroke-race-scale,"Acute stroke is a time-dependent medical emergency. In acute ischemic stroke, the first objective is to restore brain flow using sistemic thrombolytic treatment and, in patients with large vessel occlusion, by endovascular treatment. In hemorrhagic stroke there are also specific treatments that can improve the clinical outcome.The sooner the initiation of all these therapies the higher the clinical benefit. Thus,  the organization of Stroke Code systems coordinated between emergency medical systems and hospitals is crucial to achieve early medical attention and treament.
Neurological scales facilitate stroke recognition at both hospital and pre-hospital levels and provide valuable information of stroke severity. The RACE scale is a prehospital scale validated as a tool to identify patients with suspected large vessel occlusion who are potential candidates for endovascular treatment. 

This course aims to update general knowledge in acute stroke and currently available treatments, to review the protocol
of the Stroke Code and, finally, to train in the use of the RACE scale.

The target profile of this course is aimed to all health professionals working in the field of emergencies.",,94 ratings,,"2,256 already enrolled"
74,,,,,,,,
75,,,,,,,,
